date,tmean_c_mean,tmean_c_min,tmean_c_max,tmean_c_std,tmax_c_mean,tmin_c_mean,hdd18_mean,cdd22_mean,amp_termica_mean,precip_mm_mean,rad_solar_mean,sunshine_h_mean,humidade_relativa_mean,nebulosidade_media_mean,wind_speed_max_mean,wind_gusts_max_mean,day_length_h_mean,n_zones,consumo_gwh,dow,is_weekend,month,year
2015-06-02,6.306,1.3,9.1,1.985602257888174,10.058,3.164,11.694,0.0,6.894,0.466,11.2552,8.913500722222222,72.54,34.0,20.368,37.126,10.353599999999998,50,166.0,1,0,6,2015
2015-06-03,12.054,8.7,14.6,1.6451797246898625,18.688,6.5760000000000005,5.946000000000001,0.0,12.112,0.0,18.8102,10.550900555555556,55.52,8.96,15.546,30.134,11.5078,50,142.0,2,0,6,2015
2015-06-04,14.962,13.3,16.4,0.7320337897855229,20.452,10.298,3.0380000000000003,0.0,10.154,5.1,17.8992,9.901810777777778,78.42,66.08,13.922,28.744,12.869000000000002,50,113.0,3,0,6,2015
2015-06-05,14.168,12.0,17.7,1.1550139145729557,18.535999999999998,9.582,3.832,0.0,8.954,0.0,24.7366,12.757190055555556,71.84,63.18,9.156,20.622,14.0722,50,134.0,4,0,6,2015
2015-06-06,22.588,18.2,27.4,1.6984554808437469,28.874000000000002,16.215999999999998,0.0,1.006,12.658,0.036,28.922399999999996,13.711038555555556,66.54,6.42,16.504,32.17,14.8914,50,124.0,5,1,6,2015
2015-06-07,21.392,19.2,27.8,1.8972418218593654,27.534000000000002,16.08,0.0,0.466,11.454,0.0,30.2148,13.752936444444444,66.28,25.22,19.62,36.824,14.895,50,140.0,6,1,6,2015
2015-06-08,21.414,18.7,27.5,1.7923886695851265,26.604,16.838,0.0,0.466,9.766,0.0,27.3106,13.007864444444444,71.16,6.32,21.041999999999998,38.961999999999996,14.0946,50,137.0,0,0,6,2015
2015-06-09,20.678,17.8,22.5,0.9324731215691845,26.276,15.106,0.004,0.01,11.17,0.012000000000000002,22.1596,11.970390277777778,64.56,9.24,16.358,31.278000000000002,12.8682,50,109.0,1,0,6,2015
2015-06-10,17.394000000000002,14.1,21.3,1.6699517284970262,19.052,14.764000000000001,1.034,0.0,4.288,7.108,12.578199999999999,10.041390277777777,81.6,61.34,22.902,48.718,11.5724,50,135.0,2,0,6,2015
2015-06-11,18.178,15.9,19.6,0.9450817910830445,21.358,15.232000000000001,0.308,0.0,6.126,0.24600000000000002,8.9434,7.278649333333333,89.1,68.62,12.408,22.581999999999997,10.309800000000001,50,136.0,3,0,6,2015
2015-06-12,11.944,8.1,15.4,1.7109682185528636,16.86,8.314,6.056,0.0,8.546,0.0,8.3846,8.146916944444445,88.18,52.8,11.92,23.818,9.4662,50,121.0,4,0,6,2015
2015-07-01,6.778,3.7,9.9,1.6344867508718177,11.995999999999999,3.264,11.222000000000001,0.0,8.732000000000001,0.0,9.0406,8.16574861111111,85.5,34.62,11.472000000000001,22.061999999999998,9.483600000000001,50,165.0,2,0,7,2015
2015-07-02,5.997999999999999,2.2,8.5,1.6595413676737343,10.466,1.824,12.002,0.0,8.642000000000001,0.0,12.8384,9.320856888888889,70.32,33.72,13.93,26.108,10.391000000000002,50,148.0,3,0,7,2015
2015-07-03,12.958,10.3,15.2,1.211524591881937,20.534000000000002,6.952000000000001,5.042,0.0,13.582,0.0,18.9314,10.582824611111112,62.92,0.0,11.932,22.625999999999998,11.553199999999999,50,124.0,4,0,7,2015
2015-07-04,16.306,14.4,18.5,0.7944732563793702,21.406,11.995999999999999,1.704,0.0,9.41,0.504,19.381800000000002,10.61252261111111,71.98,67.12,16.282,33.205999999999996,12.910599999999999,50,127.0,5,1,7,2015
2015-07-05,16.024,14.0,18.7,0.9272650150648764,19.964000000000002,11.677999999999999,1.992,0.0,8.286,2.238,26.383200000000002,12.846528000000001,75.52,35.78,19.875999999999998,37.85,14.1074,50,134.0,6,1,7,2015
2015-07-06,23.688000000000002,18.5,27.6,1.8496155143760038,29.53,18.198,0.0,1.95,11.332,0.092,27.5522,13.267863555555556,62.48,42.38,18.332,32.924,14.9086,50,115.0,0,0,7,2015
2015-07-07,21.604,19.6,29.3,2.1077079145510713,27.951999999999998,16.368,0.0,0.574,11.584000000000001,0.0,30.027399999999997,13.695008555555555,69.54,31.9,24.224,45.66,14.882,50,144.0,1,0,7,2015
2015-07-08,20.584,18.5,27.9,1.8507979525665372,25.474,16.636,0.0,0.324,8.838,0.0,26.9936,12.771572277777777,64.88,41.38,29.107999999999997,52.162,14.058800000000002,50,134.0,2,0,7,2015
2015-07-09,22.118000000000002,18.9,24.3,1.1376111742038537,28.4,16.188,0.0,0.528,12.212,0.002,22.5804,11.898302055555554,58.34,5.56,17.016,32.426,12.8264,50,132.0,3,0,7,2015
2015-07-10,15.234000000000002,12.2,19.4,1.7079179352268035,19.082,11.97,2.8,0.0,7.112,0.0,16.333399999999997,10.507465944444446,76.48,41.9,19.086,35.814,11.532,50,134.0,4,0,7,2015
2015-07-11,17.348,14.4,19.9,1.2449473392682202,23.014,12.962,0.848,0.0,10.052,0.0,11.3662,8.796761111111111,86.68,34.84,10.46,20.1,10.2696,50,119.0,5,1,7,2015
2015-07-12,13.745999999999999,9.8,15.8,1.5589386761249997,16.396,11.216,4.254,0.0,5.18,0.938,4.6548,3.5494696666666665,84.42,97.32,17.567999999999998,36.391999999999996,9.4528,50,140.0,6,1,7,2015
2015-08-01,7.058,3.6,11.1,1.9403439627750418,13.095999999999998,2.758,10.942,0.0,10.338,0.0,9.284600000000001,8.408931388888888,80.78,22.5,12.832,23.232,9.501999999999999,50,167.0,5,1,8,2015
2015-08-02,6.47,3.0,9.6,1.6607411672171544,11.484000000000002,2.176,11.53,0.0,9.308,0.0,13.693599999999998,9.487342,65.58,3.58,16.316,32.176,10.4274,50,139.0,6,1,8,2015
2015-08-03,13.282,10.6,16.2,1.492934379410056,20.748,7.316,4.718,0.0,13.432,0.0,19.1222,10.618818333333333,70.32,0.2,17.57,30.892,11.599,50,114.0,0,0,8,2015
2015-08-04,14.822000000000001,12.2,17.1,0.9858778332231722,18.055999999999997,12.485999999999999,3.178,0.0,5.57,4.768,13.411,7.480076666666666,66.72,83.56,21.568,40.926,12.956199999999999,50,132.0,1,0,8,2015
2015-08-05,16.535999999999998,14.2,19.6,1.1900540203825087,19.092,14.542,1.5319999999999998,0.0,4.55,3.198,19.043599999999998,11.811373944444444,83.78,69.96,19.272000000000002,37.336,14.1418,50,135.0,2,0,8,2015
2015-08-06,24.736,19.3,26.8,1.7718616982007993,29.61,19.296,0.0,2.826,10.314,0.262,25.3062,12.865119333333334,58.1,79.12,14.548,27.002,14.919,50,139.0,3,0,8,2015
2015-08-07,22.464000000000002,19.1,28.2,1.7336713432858641,28.794,16.604,0.0,0.898,12.19,0.0,29.7764,13.625145444444446,67.06,49.76,21.54,38.954,14.865599999999999,50,145.0,4,0,8,2015
2015-08-08,21.96,19.0,27.6,1.6707568857941513,29.06,15.464,0.0,0.52,13.595999999999998,0.0,27.6256,12.807325888888888,55.42,27.94,23.086,44.698,14.0224,50,120.0,5,1,8,2015
2015-08-09,21.206,18.5,24.3,1.2221443182758234,26.868000000000002,16.702,0.0,0.19399999999999998,10.166,0.0,20.656599999999997,10.478496722222221,63.0,46.9,17.67,39.361999999999995,12.786,50,136.0,6,1,8,2015
2015-08-10,15.674000000000001,12.6,18.9,1.462010078415246,20.554000000000002,11.77,2.344,0.0,8.783999999999999,0.0,17.4322,10.601249777777777,77.0,46.04,15.308,28.174,11.485999999999999,50,133.0,0,0,8,2015
2015-08-11,17.774,15.2,19.2,1.0659498016284994,21.662,14.706,0.544,0.0,6.956,0.0,11.855799999999999,9.190167888888888,80.94,1.96,13.973999999999998,27.026,10.234200000000001,50,110.0,1,0,8,2015
2015-08-12,13.515999999999998,10.0,16.3,1.4672423112764978,16.174,10.522,4.484,0.0,5.652,6.426,5.7222,5.940231722222222,87.82,84.22,15.012,27.176,9.4382,50,126.0,2,0,8,2015
2015-09-01,8.57,5.7,12.8,1.6286027565909094,15.162,4.454,9.43,0.0,10.708,0.0,9.8512,8.4874455,75.98,6.34,13.177999999999999,24.55,9.5198,50,164.0,1,0,9,2015
